web-scraper-order,web-scraper-start-url,answers,pagination,pagination-href,clues
"1616688017-174214","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","Do some wishful thinking? : SETAGOAL"
"1616688017-174164","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","62"
"1616688017-173978","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616688017-174177","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","6"
"1616688017-174033","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616688008-173944","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","Use a Juul, say : VAPE"
"1616688008-173740","https://www.xwordinfo.com/Crossword?date=03/24/2021",": BLUTO","","",""
"1616688017-174209","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","33"
"1616688008-173741","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","","",""
"1616688017-174046","https://www.xwordinfo.com/Crossword?date=03/24/2021",": TEEMED","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616688008-173666","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","","",""
"1616688017-174005","https://www.xwordinfo.com/Crossword?date=03/24/2021",": TANG","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616688017-173994","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616688008-173928","https://www.xwordinfo.com/Crossword?date=03/24/2021","","","","Manipulate the outcome of : FIX"
"1616688017-174063","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021",""
"1616688017-174104","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","15"
"1616688008-173771","https://www.xwordinfo.com/Crossword?date=03/24/2021","null","","",""
"1616688008-173784","https://www.xwordinfo.com/Crossword?date=03/24/2021",": SETTO","","",""
"1616688017-174216","https://www.xwordinfo.com/Crossword?date=03/24/2021","","Next puzzle","https://www.xwordinfo.com/Crossword?date=3/25/2021","Camelot lady : ENID"
"1616688008-173752","https://www.xwordinfo.com/Crossword?date=03/24/2021",": STIEG","","",""
